Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-02-05 00:00:00+05:30,1811.0,1826.550048828125,1780.0,1796.75,1796.75,1286850,0.0,0.0
2025-02-06 00:00:00+05:30,1808.0,1812.949951171875,1779.449951171875,1788.0,1788.0,1119866,0.0,0.0
2025-02-07 00:00:00+05:30,1801.0,1822.0,1784.3499755859375,1798.3499755859375,1798.3499755859375,1748940,0.0,0.0
2025-02-10 00:00:00+05:30,1804.9000244140625,1806.949951171875,1774.800048828125,1792.4000244140625,1792.4000244140625,908769,0.0,0.0
2025-02-11 00:00:00+05:30,1792.4000244140625,1795.300048828125,1742.0,1744.8499755859375,1744.8499755859375,1944713,0.0,0.0
2025-02-12 00:00:00+05:30,1749.0,1800.8499755859375,1727.25,1788.699951171875,1788.699951171875,1888823,0.0,0.0
2025-02-13 00:00:00+05:30,1803.949951171875,1853.5,1796.6500244140625,1849.25,1849.25,4070038,0.0,0.0
2025-02-14 00:00:00+05:30,1853.5,1867.5999755859375,1825.0,1841.300048828125,1841.300048828125,1823774,0.0,0.0
2025-02-17 00:00:00+05:30,1841.300048828125,1898.75,1830.449951171875,1894.8499755859375,1894.8499755859375,3022597,0.0,0.0
2025-02-18 00:00:00+05:30,1892.0,1913.800048828125,1880.800048828125,1893.699951171875,1893.699951171875,2116513,0.0,0.0
2025-02-19 00:00:00+05:30,1891.050048828125,1899.199951171875,1868.050048828125,1875.3499755859375,1875.3499755859375,768994,0.0,0.0
2025-02-20 00:00:00+05:30,1867.8499755859375,1887.5,1861.050048828125,1881.25,1881.25,1012144,0.0,0.0
2025-02-21 00:00:00+05:30,1872.199951171875,1893.300048828125,1866.4000244140625,1879.3499755859375,1879.3499755859375,852037,0.0,0.0
2025-02-24 00:00:00+05:30,1868.0,1889.9000244140625,1853.0,1857.800048828125,1857.800048828125,1076484,0.0,0.0
2025-02-25 00:00:00+05:30,1857.800048828125,1896.0,1857.800048828125,1875.0999755859375,1875.0999755859375,1761019,0.0,0.0
2025-02-27 00:00:00+05:30,1882.1500244140625,1938.800048828125,1881.0,1925.550048828125,1925.550048828125,2878330,0.0,0.0
2025-02-28 00:00:00+05:30,1911.050048828125,1920.0,1862.550048828125,1872.300048828125,1872.300048828125,1797567,0.0,0.0
2025-03-03 00:00:00+05:30,1884.699951171875,1884.699951171875,1818.699951171875,1838.550048828125,1838.550048828125,1046987,0.0,0.0
2025-03-04 00:00:00+05:30,1829.75,1833.5,1785.25,1790.300048828125,1790.300048828125,1443339,0.0,0.0
2025-03-05 00:00:00+05:30,1787.0,1808.800048828125,1733.0,1801.800048828125,1801.800048828125,2143253,0.0,0.0
2025-03-06 00:00:00+05:30,1818.800048828125,1853.0,1784.0999755859375,1845.449951171875,1845.449951171875,2176883,0.0,0.0
2025-03-07 00:00:00+05:30,1845.1500244140625,1865.550048828125,1836.5,1845.300048828125,1845.300048828125,1332323,0.0,0.0
2025-03-10 00:00:00+05:30,1844.75,1888.75,1835.0,1840.3499755859375,1840.3499755859375,1703046,0.0,0.0
2025-03-11 00:00:00+05:30,1830.0,1836.8499755859375,1788.25,1805.4000244140625,1805.4000244140625,2298735,0.0,0.0
2025-03-12 00:00:00+05:30,1814.0,1824.3499755859375,1800.0,1819.449951171875,1819.449951171875,1196955,0.0,0.0
2025-03-13 00:00:00+05:30,1828.0,1840.0,1803.1500244140625,1807.449951171875,1807.449951171875,1333932,0.0,0.0
2025-03-17 00:00:00+05:30,1820.0,1880.9000244140625,1797.1500244140625,1871.5999755859375,1871.5999755859375,6994837,0.0,0.0
2025-03-18 00:00:00+05:30,1871.5999755859375,1871.5999755859375,1871.5999755859375,1871.5999755859375,1871.5999755859375,0,0.0,0.0
2025-03-19 00:00:00+05:30,1855.0,1864.4000244140625,1840.0,1842.25,1842.25,2411880,0.0,0.0
2025-03-20 00:00:00+05:30,1842.25,1855.0,1814.0999755859375,1851.8499755859375,1851.8499755859375,2306910,0.0,0.0
2025-03-21 00:00:00+05:30,1878.0,1880.0,1825.0,1847.25,1847.25,3537391,0.0,0.0
2025-03-24 00:00:00+05:30,1855.3499755859375,1898.699951171875,1845.5,1894.1500244140625,1894.1500244140625,1864839,0.0,0.0
2025-03-25 00:00:00+05:30,1905.0,1954.4000244140625,1894.9000244140625,1945.050048828125,1945.050048828125,3512725,0.0,0.0
2025-03-26 00:00:00+05:30,1951.0,1978.0,1935.0,1943.4000244140625,1943.4000244140625,2779682,0.0,0.0
2025-03-27 00:00:00+05:30,1940.0,2011.5,1932.5999755859375,2005.75,2005.75,4506778,0.0,0.0
2025-03-28 00:00:00+05:30,1995.75,2022.0,1994.199951171875,2007.3499755859375,2007.3499755859375,1907116,0.0,0.0
